metric,value
result_source,moveit2_strict_runtime
status,pass
runtime_log_source,C:\Users\86198\Desktop\robotfucker\outputs\moveit_runtime.log
ruckig_known_warning_count_raw_log,0
strict_audit_status,pass
quality_report_source,C:\Users\86198\Desktop\robotfucker\outputs\moveit_quality_report.csv
dynamics_report_source,C:\Users\86198\Desktop\robotfucker\outputs\moveit_joint_dynamics_report.csv
collision_report_source,C:\Users\86198\Desktop\robotfucker\outputs\moveit_collision_report.csv
fk_normal_error_mean_deg,0.4637331751588082
fk_normal_error_max_deg,2.4871678782286684
fk_standoff_error_max_abs_mm,1.2820582750966703
fk_path_deviation_p95_mm,0.08128501567048063
fk_path_deviation_max_mm,1.851782906667074
fk_tcp_speed_mean_m_s,0.002995909417811119
fk_tcp_speed_p05_m_s,0.0029999999995450276
fk_tcp_speed_p95_m_s,0.0030000000006289275
fk_tcp_speed_p05_p95_fluctuation,3.6179328068995417e-10
moveit_ruckig_smoothing_used,true
moveit_time_parameterization,tcp_arclength
moveit_ee_link,spray_tcp_link
max_velocity_ratio,0.16823842356025193
max_acceleration_ratio,0.5938644984471205
max_jerk_ratio,0.18680515377540977
worst_jerk_joint,j4
collision_environment_object_count,60.0
collision_checked_state_count,145.0
collision_count,0.0
collision_status,pass
