metric,value
coverage_rate,1.0
repeat_rate,1.0
status,fail
tcp_speed_fluctuation,8.957086708880223e-06
tcp_speed_minmax_fluctuation,1.224458613987606
ik_success_rate,1.0
max_ik_error,0.0022626414474457815
joint_jump_count,0
spike_count,117
jerk_status,fail
max_jerk_to_p95_ratio,7163.246626383151
path_pitch_or_pass_spacing,1.2
selected_overlap_ratio,0.5
recommended_spray_width,0.11350756399643405
recommended_spray_distance,0.18
recommended_spray_angle,35.0
mean_speed,0.0029543231419757914
min_speed,0.0007634861007099042
max_speed,0.004380932520405091
speed_p05,0.0029542407202018104
speed_p95,0.002954267182330359
speed_p05_p95_fluctuation,8.957086708880223e-06
tcp_speed_status,pass
tcp_speed_p05_p95_status,pass
fk_tcp_speed_mean,0.0029543231419757914
fk_tcp_speed_min,0.0007634861007099042
fk_tcp_speed_max,0.004380932520405091
fk_tcp_speed_fluctuation,8.957086708880223e-06
fk_tcp_speed_minmax_fluctuation,1.224458613987606
fk_tcp_speed_p05,0.0029542407202018104
fk_tcp_speed_p95,0.002954267182330359
fk_tcp_speed_p05_p95_fluctuation,8.957086708880223e-06
fk_tcp_speed_status,pass
fk_tcp_speed_p05_p95_status,pass
fk_path_deviation_p95_mm,1.3204326573853329
fk_path_deviation_max_mm,3.192156952935267
fk_path_deviation_limit_mm,5.0
fk_path_deviation_status,pass
requested_speed,0.08
time_profile_method,ruckig-periodic-c4:0.00295
time_profile_note,
robot_model_source,official:C:\Users\86198\Desktop\robotfucker\external\frcobot_ros2\fairino_description\urdf\fairino5_v6.urdf
ik_orientation_weight,0.05
ik_full_orientation_weight,0.0
ik_continuity_weight,0.018
ik_max_step_deg,180.0
joint_smoothness,1e-06
loops,3
station_y_std,5.551115123125783e-17
normal_angle_error_mean_deg,0.2958054336847481
normal_angle_error_p95_deg,0.5353412437574379
normal_angle_error_max_deg,8.641904451774268
normal_angle_status,pass
standoff_error_mean_mm,-0.05589013103073371
standoff_error_p95_abs_mm,0.9478601772103065
standoff_error_max_abs_mm,3.1741124993960037
standoff_error_limit_mm,9.0
standoff_status,pass
samples_per_loop,240
actual_samples_per_loop,240
fillet_radius,0.2
contour_standoff_error_mean_mm,3.816391647148976e-15
contour_standoff_error_max_abs_mm,8.326672684688674e-14
contour_standoff_error_p95_abs_mm,5.551115123125783e-14
tcp_self_intersects,0
tcp_inside_wall_contour,1
close_position_error,0.0
close_tangent_error,5.5523821298202034e-06
close_curvature_error,0.0002389671444093265
